rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Greipel André;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Omega Pharma-Lotto;Lotto Belisol Team;Lotto Belisol Team;Lotto Belisol;Lotto Soudal;Lotto Soudal;Lotto Soudal;Lotto Soudal;Team Arkéa Samsic
Bak Lars Ytting;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;HTC - High Road;Lotto Belisol Team;Lotto Belisol Team;Lotto Belisol;Lotto Soudal;Lotto Soudal;Lotto Soudal;null;Team Dimension Data
Swift Ben;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Sky Procycling;null;null;null;null;null;UAE Team Emirates;null;null
Navardauskas Ramūnas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Garmin - Cervélo;null;Garmin Sharp;Garmin Sharp;Team Cannondale - Garmin;Cannondale-Drapac Pro Cycling Team;null;null;null
Goss Matthew;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;HTC - High Road;Orica GreenEDGE;Orica GreenEDGE;null;null;null;null;null;null
Mollema Bauke;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank Cycling Team;Rabobank Cycling Team;Belkin-Pro Cycling Team;Belkin-Pro Cycling Team;Trek Factory Racing;Trek - Segafredo;Trek - Segafredo;Trek - Segafredo;Trek - Segafredo
Ruijgh Rob;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Vacansoleil - DCM;null;null;null;null;null;null;null
Jeannesson Arnold;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;FDJ;null;FDJ.fr;FDJ.fr;null;Cofidis, Solutions Crédits;null;null;null
Danielson Tom;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Garmin - Cervélo;Garmin Sharp;Garmin Sharp;null;null;null;null;null;null
Intxausti Beñat;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Movistar Team;null;null;Movistar Team;null;null;null;null;null
Hoogerland Johnny;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Vacansoleil - DCM;Vacansoleil - DCM;null;null;null;null;null;null
Zingle Romain;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;null;null;null;null;null;null;null
Irizar Markel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;RadioShack;null;RadioShack - Leopard;Trek Factory Racing;Trek Factory Racing;Trek - Segafredo;Trek - Segafredo;null;null
Isaychev Vladimir;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;Team Katusha;null;null;null;null;null
Peraud Jean-Christophe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;null;null;null;null
Poels Wout;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Vacansoleil - DCM;Vacansoleil - DCM;null;Team Sky;Team Sky;null;Team Sky;Team INEOS
Porte Richie;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saxo Bank - Sungard;Sky Procycling;Sky Procycling;Team Sky;Team Sky;BMC Racing Team;BMC Racing Team;BMC Racing Team;Trek - Segafredo
De Gendt Thomas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;null;Vacansoleil - DCM;null;Lotto Soudal;Lotto Soudal;Lotto Soudal;Lotto Soudal;Lotto Soudal
Marcato Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Vacansoleil - DCM;null;Cannondale;null;null;UAE Team Emirates;UAE-Team Emirates;null
Westra Lieuwe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Vacansoleil - DCM;Vacansoleil - DCM;Astana Pro Team;Astana Pro Team;null;null;null;null
Santaromita Ivan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BMC Racing Team;null;null;null;null;null;null;null;null
Amador Andrey;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Movistar Team;null;Movistar Team;null;null;null;Movistar Team;Movistar Team;Movistar Team
Gène Yohann;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Europcar;Team Europcar;Team Europcar;Team Europcar;Team Europcar;Direct Energie;Direct Energie;null;null
Vichot Arthur;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;FDJ;FDJ - BigMat;FDJ.fr;FDJ.fr;null;FDJ;FDJ;Groupama - FDJ;null
Schär Michael;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;CCC Team
Bodnar Maciej;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Cannondale;null;Cannondale Pro Cycling Team;Cannondale;null;Tinkoff;BORA - hansgrohe;BORA - hansgrohe;null
Urtasun Pablo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Euskaltel - Euskadi;Euskaltel - Euskadi;null;null;null;null;null;null;null
Delaplace Anthony;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saur - Sojasun;Saur - Sojasun;Sojasun;Bretagne - Séché Environnement;Bretagne - Séché Environnement;Fortuneo - Vital Concept;null;null;Team Arkéa Samsic
Izagirre Gorka;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Euskaltel - Euskadi;Euskaltel - Euskadi;Euskaltel - Euskadi;null;Movistar Team;Movistar Team;null;Bahrain Merida Pro Cycling Team;Astana Pro Team
Jeandesboz Fabrice;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saur - Sojasun;Saur - Sojasun;null;null;null;Direct Energie;null;null;null
Talabardon Yannick;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saur - Sojasun;null;null;null;null;null;null;null;null
Quéméneur Perrig;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Europcar;null;null;Team Europcar;Team Europcar;null;Direct Energie;null;null
Valentin Tristan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;null;null;null;null;null;null;null;null
Buffaz Mickaël;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;null;null;null;null;null;null;null;null
Kostyuk Denys;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - ISD;null;null;null;null;null;null;null;null
Božič Borut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;Astana Pro Team;null;null;null;Cofidis, Solutions Crédits;Bahrain Merida Pro Cycling Team;null;null
Kadri Blel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;null;null;null;null;null
Jérôme Vincent;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Europcar;Team Europcar;null;null;null;null;null;null;null
Sagan Peter;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Cannondale;Cannondale Pro Cycling Team;Cannondale;Tinkoff - Saxo;Tinkoff;BORA - hansgrohe;BORA - hansgrohe;BORA - hansgrohe
Martin Dan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Garmin Sharp;Garmin Sharp;null;Team Cannondale - Garmin;Etixx - Quick Step;Quick-Step Floors;UAE-Team Emirates;UAE-Team Emirates
Cherel Mickaël;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AG2R La Mondiale;null;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;null;null;AG2R La Mondiale
Nerz Dominik;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Cannondale;null;null;Bora - Argon 18;null;null;null;null
Kišerlovski Robert;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Astana Pro Team;null;null;null;Tinkoff;Team Katusha Alpecin;Team Katusha Alpecin;null
Pinot Thibaut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;FDJ - BigMat;FDJ.fr;FDJ.fr;FDJ;FDJ;FDJ;null;Groupama - FDJ
Kruijswijk Steven;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank Cycling Team;null;Belkin-Pro Cycling Team;Team LottoNL-Jumbo;null;null;Team LottoNL-Jumbo;Team Jumbo-Visma
Bernaudeau Giovanni;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Europcar;null;null;null;null;null;null;null
Caruso Giampaolo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;Team Katusha;null;null;null;null
Huguet Yann;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Argos - Shimano;null;null;null;null;null;null;null
Canuti Federico;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Cannondale;null;null;null;null;null;null;null
Curvers Roy;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Argos - Shimano;Team Argos - Shimano;Team Giant - Shimano;Team Giant - Alpecin;Team Giant - Alpecin;Team Sunweb;null;null
Kessiakoff Fredrik;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Astana Pro Team;Astana Pro Team;null;null;null;null;null;null
